Campaign Name,Mediaplan,Campaign Mp Label,Datasource_y
MCMPR_2020_GTM_KELLOGGS_CHEEZIT_SEASONAL_GALLETAOSNACK_XAXIS-DISPLAY_MID-MORNINGSNACK,2020_ktbo_kube_Adverity_Mediaplan_EneroAgosto-AllRegions,MCMPR_2020_GTM_KELLOGGS_CHEEZIT_SEASONAL_GALLETAOSNACK_XAXIS-DISPLAY_MID-MORNINGSNACK,Sizmek Sas
MCMPR_2020_GTM_KELLOGGS_CHEEZIT_SEASONAL_GALLETAOSNACK_XAXIS-DISPLAY_MID-MORNINGSNACK,2020_ktbo_kube_Adverity_Mediaplan_EneroAgosto-AllRegions,MCMPR_2020_GTM_KELLOGGS_CHEEZIT_SEASONAL_GALLETAOSNACK_XAXIS-DISPLAY_MID-MORNINGSNACK,Sizmek Sas
MCMPR_2020_GTM_KELLOGGS_CHEEZIT_SEASONAL_GALLETAOSNACK_XAXIS-DISPLAY_MID-MORNINGSNACK,2020_ktbo_kube_Adverity_Mediaplan_EneroAgosto-AllRegions,MCMPR_2020_GTM_KELLOGGS_CHEEZIT_SEASONAL_GALLETAOSNACK_XAXIS-DISPLAY_MID-MORNINGSNACK,Sizmek Sas
MCMPR_2020_GTM_KELLOGGS_CHEEZIT_SEASONAL_GALLETAOSNACK_XAXIS-DISPLAY_MID-MORNINGSNACK,2020_ktbo_kube_Adverity_Mediaplan_EneroAgosto-AllRegions,MCMPR_2020_GTM_KELLOGGS_CHEEZIT_SEASONAL_GALLETAOSNACK_XAXIS-DISPLAY_MID-MORNINGSNACK,Sizmek Sas
MCMPR_2020_GTM_KELLOGGS_CHEEZIT_SEASONAL_GALLETAOSNACK_XAXIS-DISPLAY_MID-MORNINGSNACK,2020_ktbo_kube_Adverity_Mediaplan_EneroAgosto-AllRegions,MCMPR_2020_GTM_KELLOGGS_CHEEZIT_SEASONAL_GALLETAOSNACK_XAXIS-DISPLAY_MID-MORNINGSNACK,Sizmek Sas
MCMPR_2020_GTM_KELLOGGS_CHEEZIT_SEASONAL_GALLETAOSNACK_XAXIS-DISPLAY_MID-MORNINGSNACK,2020_ktbo_kube_Adverity_Mediaplan_EneroAgosto-AllRegions,MCMPR_2020_GTM_KELLOGGS_CHEEZIT_SEASONAL_GALLETAOSNACK_XAXIS-DISPLAY_MID-MORNINGSNACK,Sizmek Sas
MCMPR_2020_GTM_KELLOGGS_CHEEZIT_SEASONAL_GALLETAOSNACK_XAXIS-DISPLAY_MID-MORNINGSNACK,2020_ktbo_kube_Adverity_Mediaplan_EneroAgosto-AllRegions,MCMPR_2020_GTM_KELLOGGS_CHEEZIT_SEASONAL_GALLETAOSNACK_XAXIS-DISPLAY_MID-MORNINGSNACK,Sizmek Sas
MCMPR_2020_GTM_KELLOGGS_CHEEZIT_SEASONAL_GALLETAOSNACK_XAXIS-DISPLAY_MID-MORNINGSNACK,2020_ktbo_kube_Adverity_Mediaplan_EneroAgosto-AllRegions,MCMPR_2020_GTM_KELLOGGS_CHEEZIT_SEASONAL_GALLETAOSNACK_XAXIS-DISPLAY_MID-MORNINGSNACK,Sizmek Sas
MCMPR_2020_GTM_KELLOGGS_CHEEZIT_SEASONAL_GALLETAOSNACK_XAXIS-DISPLAY_MID-MORNINGSNACK,2020_ktbo_kube_Adverity_Mediaplan_EneroAgosto-AllRegions,MCMPR_2020_GTM_KELLOGGS_CHEEZIT_SEASONAL_GALLETAOSNACK_XAXIS-DISPLAY_MID-MORNINGSNACK,Sizmek Sas
MCMPR_2020_GTM_KELLOGGS_CHEEZIT_SEASONAL_GALLETAOSNACK_XAXIS-DISPLAY_MID-MORNINGSNACK,2020_ktbo_kube_Adverity_Mediaplan_EneroAgosto-AllRegions,MCMPR_2020_GTM_KELLOGGS_CHEEZIT_SEASONAL_GALLETAOSNACK_XAXIS-DISPLAY_MID-MORNINGSNACK,Sizmek Sas
